Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Age Class,Title,Is Alone,Total Peers
0,3,male,1,0,7.25,S,young adult,Mr,False,1
1,1,female,1,0,71.2833,C,old adult,Mrs,False,1
1,3,female,0,0,7.925,S,young adult,Miss,True,0
1,1,female,1,0,53.1,S,old adult,Mrs,False,1
0,3,male,0,0,8.05,S,old adult,Mr,True,0
0,3,male,0,0,8.4583,Q,retirement,Mr,True,0
0,1,male,0,0,51.8625,S,retirement,Mr,True,0
0,3,male,3,1,21.075,S,retirement,Master,False,4
1,3,female,0,2,11.1333,S,middle adult,Mrs,False,2
1,2,female,1,0,30.0708,C,children,Mrs,False,1
1,3,female,1,1,16.7,S,retirement,Miss,False,2
1,1,female,0,0,26.55,S,retirement,Miss,True,0
0,3,male,0,0,8.05,S,teenager,Mr,True,0
0,3,male,1,5,31.275,S,old adult,Mr,False,6
0,3,female,0,0,7.8542,S,children,Miss,True,0
1,2,female,0,0,16.0,S,retirement,Mrs,True,0
0,3,male,4,1,29.125,Q,retirement,Master,False,5
1,2,male,0,0,13.0,S,retirement,Mr,True,0
0,3,female,1,0,18.0,S,old adult,Mrs,False,1
1,3,female,0,0,7.225,C,retirement,Mrs,True,0
0,2,male,0,0,26.0,S,old adult,Mr,True,0
1,2,male,0,0,13.0,S,old adult,Mr,True,0
1,3,female,0,0,8.0292,Q,children,Miss,True,0
1,1,male,0,0,35.5,S,middle adult,Mr,True,0
0,3,female,3,1,21.075,S,children,Miss,False,4
1,3,female,1,5,31.3875,S,old adult,Mrs,False,6
0,3,male,0,0,7.225,C,retirement,Mr,True,0
0,1,male,3,2,263.0,S,teenager,Mr,False,5
1,3,female,0,0,7.8792,Q,retirement,Miss,True,0
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,1,male,0,0,27.7208,C,old adult,Other,True,0
1,1,female,1,0,146.5208,C,retirement,Mrs,False,1
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
0,2,male,0,0,10.5,S,retirement,Mr,True,0
0,1,male,1,0,82.1708,C,middle adult,Mr,False,1
0,1,male,1,0,52.0,S,old adult,Mr,False,1
1,3,male,0,0,7.2292,C,retirement,Mr,True,0
0,3,male,0,0,8.05,S,teenager,Mr,True,0
0,3,female,2,0,18.0,S,teenager,Miss,False,2
1,3,female,1,0,11.2417,C,children,Miss,False,1
0,3,female,1,0,9.475,S,old adult,Mrs,False,1
0,2,female,1,0,21.0,S,middle adult,Mrs,False,1
0,3,male,0,0,7.8958,C,retirement,Mr,True,0
1,2,female,1,2,41.5792,C,retirement,Miss,False,3
1,3,female,0,0,7.8792,Q,teenager,Miss,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,3,male,1,0,15.5,Q,retirement,Mr,False,1
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
0,3,male,2,0,21.6792,C,retirement,Mr,False,2
0,3,female,1,0,17.8,S,teenager,Mrs,False,1
0,3,male,4,1,39.6875,S,children,Master,False,5
0,3,male,0,0,7.8,S,teenager,Mr,True,0
1,1,female,1,0,76.7292,C,retirement,Mrs,False,1
1,2,female,1,0,26.0,S,middle adult,Mrs,False,1
0,1,male,0,1,61.9792,C,retirement,Mr,False,1
1,1,male,0,0,35.5,S,retirement,Mr,True,0
1,2,female,0,0,10.5,S,teenager,Miss,True,0
0,3,male,0,0,7.2292,C,middle adult,Mr,True,0
1,2,female,1,2,27.75,S,retirement,Miss,False,3
0,3,male,5,2,46.9,S,children,Master,False,7
0,3,male,0,0,7.2292,C,young adult,Mr,True,0
1,1,female,0,0,80.0,,old adult,Miss,True,0
0,1,male,1,0,83.475,S,old adult,Mr,False,1
0,3,male,3,2,27.9,S,retirement,Master,False,5
0,1,male,0,0,27.7208,C,retirement,Mr,True,0
1,3,male,1,1,15.2458,C,retirement,Master,False,2
1,2,female,0,0,10.5,S,middle adult,Mrs,True,0
0,3,male,0,0,8.1583,S,teenager,Mr,True,0
1,3,female,4,2,7.925,S,children,Miss,False,6
0,3,male,2,0,8.6625,S,young adult,Mr,False,2
0,2,male,0,0,10.5,S,old adult,Mr,True,0
0,3,female,5,2,46.9,S,children,Miss,False,7
0,2,male,0,0,73.5,S,teenager,Mr,True,0
0,3,male,1,0,14.4542,C,young adult,Mr,False,1
1,3,male,0,0,56.4958,S,old adult,Mr,True,0
0,3,male,0,0,7.65,S,young adult,Mr,True,0
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
1,2,male,0,2,29.0,S,retirement,Master,False,2
1,3,female,0,0,12.475,S,middle adult,Miss,True,0
0,3,male,0,0,9.0,S,young adult,Mr,True,0
1,3,male,0,0,9.5,S,middle adult,Mr,True,0
1,3,female,0,0,7.7875,Q,retirement,Miss,True,0
0,1,male,0,0,47.1,S,middle adult,Mr,True,0
1,2,female,0,0,10.5,S,children,Miss,True,0
1,3,female,3,0,15.85,S,old adult,Mrs,False,3
0,3,male,1,3,34.375,S,children,Mr,False,4
0,3,male,0,0,8.05,S,retirement,Mr,True,0
1,1,female,3,2,263.0,S,young adult,Miss,False,5
0,3,male,0,0,8.05,S,young adult,Mr,True,0
0,3,male,0,0,8.05,S,middle adult,Mr,True,0
0,3,male,0,0,7.8542,S,teenager,Mr,True,0
0,1,male,1,0,61.175,S,old adult,Mr,False,1
0,3,male,1,2,20.575,S,young adult,Mr,False,3
0,3,male,0,0,7.25,S,retirement,Mr,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,1,male,0,0,34.6542,C,retirement,Mr,True,0
1,1,male,0,1,63.3583,C,young adult,Mr,False,1
1,2,female,0,1,23.0,S,old adult,Mrs,False,1
0,2,male,1,0,26.0,S,old adult,Mr,False,1
0,3,female,0,0,7.8958,S,middle adult,Miss,True,0
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,1,male,0,1,77.2875,S,teenager,Mr,False,1
0,3,male,0,0,8.6542,S,old adult,Mr,True,0
0,3,male,2,0,7.925,S,old adult,Mr,False,2
0,3,male,0,0,7.8958,S,middle adult,Mr,True,0
1,3,female,0,0,7.65,S,teenager,Miss,True,0
1,3,male,0,0,7.775,S,retirement,Mr,True,0
0,3,male,0,0,7.8958,S,old adult,Mr,True,0
1,3,female,1,0,24.15,Q,retirement,Miss,False,1
0,1,male,0,0,52.0,S,old adult,Mr,True,0
0,3,female,1,0,14.4542,C,children,Miss,False,1
0,3,male,0,0,8.05,S,young adult,Mr,True,0
0,3,female,1,0,9.825,S,teenager,Miss,False,1
0,3,female,0,0,14.4583,C,children,Miss,True,0
0,3,male,0,0,7.925,S,teenager,Mr,True,0
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
0,2,male,1,0,21.0,S,middle adult,Mr,False,1
0,1,male,0,1,247.5208,C,young adult,Mr,False,1
0,3,female,4,2,31.275,S,retirement,Miss,False,6
0,2,male,2,0,73.5,S,teenager,Mr,False,2
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,2,male,1,0,30.0708,C,old adult,Mr,False,1
1,2,female,0,0,13.0,S,old adult,Miss,True,0
0,1,male,0,1,77.2875,S,retirement,Mr,False,1
1,3,male,1,0,11.2417,C,children,Master,False,1
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
1,3,male,0,0,7.1417,S,young adult,Mr,True,0
1,3,female,1,1,22.3583,C,retirement,Miss,False,2
0,3,male,0,0,6.975,S,old adult,Mr,True,0
0,3,male,0,0,7.8958,C,old adult,Mr,True,0
0,3,male,0,0,7.05,S,teenager,Mr,True,0
0,3,female,1,0,14.5,S,old adult,Mrs,False,1
1,2,female,1,0,26.0,S,middle adult,Mrs,False,1
0,2,male,0,0,13.0,S,young adult,Mr,True,0
0,2,male,0,0,15.0458,C,young adult,Mr,True,0
1,1,female,0,2,26.2833,S,teenager,Miss,False,2
0,1,male,1,0,53.1,S,old adult,Mr,False,1
0,3,male,0,0,9.2167,S,children,Mr,True,0
0,1,male,0,0,79.2,C,young adult,Mr,True,0
0,3,female,0,2,15.2458,C,retirement,Mrs,False,2
1,3,female,0,0,7.75,S,young adult,Miss,True,0
1,3,female,1,0,15.85,S,young adult,Mrs,False,1
0,3,male,0,0,6.75,Q,teenager,Mr,True,0
0,2,male,0,0,11.5,S,teenager,Mr,True,0
0,2,male,1,1,36.75,S,teenager,Mr,False,2
1,3,male,0,0,7.7958,S,middle adult,Mr,True,0
0,3,female,2,2,34.375,S,children,Miss,False,4
0,2,male,0,2,26.0,S,old adult,Mr,False,2
0,2,male,0,0,13.0,S,old adult,Other,True,0
0,2,male,0,0,12.525,S,retirement,Other,True,0
1,1,female,1,0,66.6,S,young adult,Mrs,False,1
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,3,male,0,2,14.5,S,old adult,Mr,False,2
0,3,male,0,0,7.3125,S,retirement,Mr,True,0
0,1,male,0,1,61.3792,C,retirement,Mr,False,1
1,3,female,0,0,7.7333,Q,children,Miss,True,0
0,3,male,0,0,8.05,S,middle adult,Mr,True,0
0,3,male,0,0,8.6625,S,retirement,Mr,True,0
0,3,male,8,2,69.55,S,retirement,Master,False,10
0,3,male,0,1,16.1,S,old adult,Mr,False,1
1,2,female,0,0,15.75,S,old adult,Mrs,True,0
0,3,male,0,0,7.775,S,young adult,Mr,True,0
0,3,male,0,0,8.6625,S,children,Mr,True,0
0,3,male,4,1,39.6875,S,retirement,Master,False,5
1,3,male,0,2,20.525,S,children,Master,False,2
1,1,female,0,1,55.0,S,retirement,Mrs,False,1
0,3,female,1,4,27.9,S,old adult,Mrs,False,5
0,1,male,0,0,25.925,S,retirement,Mr,True,0
0,3,male,0,0,56.4958,S,middle adult,Mr,True,0
0,1,male,0,0,33.5,S,retirement,Mr,True,0
0,3,male,4,1,29.125,Q,retirement,Master,False,5
1,3,female,1,1,11.1333,S,retirement,Miss,False,2
0,3,male,0,0,7.925,S,teenager,Mr,True,0
0,1,male,0,0,30.6958,C,retirement,Mr,True,0
0,3,male,1,1,7.8542,S,teenager,Mr,False,2
0,3,male,3,1,25.4667,S,retirement,Master,False,4
0,1,female,0,0,28.7125,C,retirement,Miss,True,0
0,2,male,0,0,13.0,S,middle adult,Mr,True,0
0,3,male,0,0,0.0,S,old adult,Mr,True,0
0,3,female,8,2,69.55,S,retirement,Miss,False,10
0,2,male,0,0,15.05,C,retirement,Mr,True,0
0,3,male,4,2,31.3875,S,children,Master,False,6
1,2,male,2,1,39.0,S,retirement,Master,False,3
1,3,female,0,2,22.025,S,retirement,Miss,False,2
0,1,male,0,0,50.0,S,retirement,Mr,True,0
1,3,female,1,0,15.5,Q,retirement,Mrs,False,1
1,1,male,0,0,26.55,S,old adult,Mr,True,0
0,3,male,1,1,15.5,Q,old adult,Mr,False,2
0,3,male,0,0,7.8958,S,old adult,Mr,True,0
1,2,female,0,0,13.0,S,old adult,Mrs,True,0
0,2,male,0,0,13.0,S,teenager,Mr,True,0
1,3,female,1,0,7.8542,S,teenager,Miss,False,1
1,2,male,1,1,26.0,S,retirement,Master,False,2
1,1,female,0,0,27.7208,C,old adult,Mrs,True,0
1,1,female,0,0,146.5208,C,retirement,Miss,True,0
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
0,3,male,0,1,8.4042,S,old adult,Mr,False,1
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
0,2,female,0,0,13.0,S,young adult,Miss,True,0
0,3,male,0,0,9.5,S,middle adult,Mr,True,0
0,3,male,8,2,69.55,S,retirement,Mr,False,10
0,3,male,0,0,6.4958,S,old adult,Mr,True,0
0,3,male,0,0,7.225,C,old adult,Mr,True,0
1,3,male,0,0,8.05,S,teenager,Mr,True,0
0,3,female,0,1,10.4625,S,retirement,Miss,False,1
0,3,male,1,0,15.85,S,old adult,Mr,False,1
1,3,male,0,0,18.7875,C,young adult,Mr,True,0
1,3,female,0,0,7.75,Q,children,Miss,True,0
1,1,male,0,0,31.0,C,old adult,Mr,True,0
0,3,male,0,0,7.05,S,young adult,Mr,True,0
1,2,female,0,0,21.0,S,old adult,Miss,True,0
0,3,male,0,0,7.25,S,young adult,Mr,True,0
0,2,male,0,0,13.0,S,middle adult,Mr,True,0
0,3,male,1,0,7.75,Q,retirement,Mr,False,1
1,1,female,1,0,113.275,C,old adult,Miss,False,1
1,3,female,0,0,7.925,S,middle adult,Miss,True,0
0,2,male,1,0,27.0,S,old adult,Mr,False,1
1,1,female,0,0,76.2917,C,old adult,Miss,True,0
0,2,male,0,0,10.5,S,middle adult,Mr,True,0
1,3,male,0,0,8.05,S,children,Mr,True,0
0,2,male,0,0,13.0,S,middle adult,Mr,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
1,1,male,1,0,90.0,S,old adult,Mr,False,1
0,3,male,0,0,9.35,S,young adult,Mr,True,0
1,2,male,0,0,10.5,S,teenager,Mr,True,0
0,3,male,0,0,7.25,S,teenager,Mr,True,0
0,2,male,0,0,13.0,S,teenager,Mr,True,0
0,3,female,3,1,25.4667,S,retirement,Miss,False,4
1,1,female,1,0,83.475,S,old adult,Mrs,False,1
0,3,male,0,0,7.775,S,middle adult,Mr,True,0
0,2,male,0,0,13.5,S,retirement,Mr,True,0
1,3,female,4,2,31.3875,S,retirement,Miss,False,6
0,2,male,0,0,10.5,S,young adult,Mr,True,0
0,3,female,0,0,7.55,S,retirement,Miss,True,0
0,2,male,1,0,26.0,S,old adult,Mr,False,1
1,2,female,0,2,26.25,S,children,Miss,False,2
0,2,male,0,0,10.5,S,teenager,Mr,True,0
0,2,male,0,0,12.275,S,old adult,Mr,True,0
0,3,female,1,0,14.4542,C,retirement,Miss,False,1
1,3,female,1,0,15.5,Q,retirement,Miss,False,1
0,2,male,0,0,10.5,S,middle adult,Mr,True,0
0,3,male,0,0,7.125,S,young adult,Mr,True,0
0,3,male,0,0,7.225,C,middle adult,Mr,True,0
0,1,male,2,0,90.0,Q,old adult,Other,False,2
0,3,female,0,0,7.775,S,young adult,Miss,True,0
1,2,female,0,2,14.5,S,young adult,Mrs,False,2
1,1,male,1,1,52.5542,S,old adult,Mr,False,2
0,2,male,1,0,26.0,S,retirement,Other,False,1
0,3,male,0,0,7.25,S,retirement,Mr,True,0
0,3,female,1,1,10.4625,S,middle adult,Mrs,False,2
0,1,male,0,0,26.55,S,retirement,Mr,True,0
0,3,male,1,0,16.1,S,middle adult,Mr,False,1
0,3,female,0,2,20.2125,S,old adult,Mrs,False,2
1,3,female,0,2,15.2458,C,middle adult,Mrs,False,2
1,1,female,0,0,79.2,C,retirement,Mrs,True,0
1,1,female,0,0,86.5,S,middle adult,Miss,True,0
1,1,female,0,0,512.3292,C,old adult,Miss,True,0
1,2,female,0,1,26.0,S,retirement,Mrs,False,1
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
1,3,male,4,2,31.3875,S,retirement,Master,False,6
0,1,male,1,1,79.65,S,retirement,Mr,False,2
0,1,male,0,0,0.0,S,old adult,Mr,True,0
0,3,female,0,0,7.75,Q,retirement,Miss,True,0
0,2,male,0,0,10.5,S,old adult,Mr,True,0
0,3,male,4,1,39.6875,S,children,Mr,False,5
1,3,male,1,0,7.775,S,young adult,Mr,False,1
1,1,female,0,1,153.4625,S,retirement,Mrs,False,1
1,1,female,0,0,135.6333,S,old adult,Miss,True,0
0,1,male,0,0,31.0,S,retirement,Mr,True,0
1,3,male,0,0,0.0,S,young adult,Mr,True,0
1,2,female,0,1,19.5,S,old adult,Mrs,False,1
0,1,male,0,1,29.7,C,old adult,Mr,False,1
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
1,1,female,1,0,77.9583,S,retirement,Miss,False,1
0,3,female,0,0,7.75,S,old adult,Miss,True,0
0,2,male,0,0,0.0,S,retirement,Mr,True,0
0,3,male,4,1,29.125,Q,children,Master,False,5
1,3,female,1,1,20.25,S,old adult,Mrs,False,2
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
0,3,male,0,0,7.8542,S,middle adult,Mr,True,0
0,3,male,0,0,9.5,S,children,Mr,True,0
1,3,male,0,0,8.05,S,teenager,Mr,True,0
0,1,male,0,0,26.0,S,retirement,Mr,True,0
0,3,male,0,0,8.6625,C,old adult,Mr,True,0
1,3,male,0,0,9.5,S,middle adult,Mr,True,0
0,3,male,0,0,7.8958,S,young adult,Mr,True,0
1,2,male,0,0,13.0,S,old adult,Mr,True,0
1,3,female,0,0,7.75,Q,young adult,Miss,True,0
1,1,female,0,0,78.85,S,young adult,Miss,True,0
1,1,female,1,0,91.0792,C,teenager,Mrs,False,1
0,2,male,0,0,12.875,C,old adult,Mr,True,0
0,3,female,0,0,8.85,S,young adult,Miss,True,0
0,3,male,0,0,7.8958,S,young adult,Mr,True,0
0,1,male,0,0,27.7208,C,retirement,Mr,True,0
0,3,male,0,0,7.2292,C,young adult,Mr,True,0
0,1,female,1,2,151.55,S,retirement,Miss,False,3
1,1,male,0,0,30.5,S,retirement,Mr,True,0
1,1,female,0,1,247.5208,C,retirement,Mrs,False,1
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
1,3,male,2,0,23.25,Q,retirement,Mr,False,2
0,3,male,0,0,0.0,S,teenager,Mr,True,0
1,2,female,0,0,12.35,Q,retirement,Miss,True,0
0,3,male,0,0,8.05,S,retirement,Mr,True,0
1,1,male,1,2,151.55,S,retirement,Master,False,3
1,1,female,0,0,110.8833,C,retirement,Miss,True,0
1,1,female,1,0,108.9,C,children,Mrs,False,1
0,2,male,1,0,24.0,C,middle adult,Mr,False,1
1,1,female,0,0,56.9292,C,middle adult,Miss,True,0
1,1,female,0,0,83.1583,C,young adult,Miss,True,0
1,1,female,2,2,262.375,C,teenager,Miss,False,4
0,2,female,1,1,26.0,S,young adult,Mrs,False,2
0,3,male,0,0,7.8958,S,middle adult,Mr,True,0
0,2,male,1,1,26.25,S,old adult,Mr,False,2
1,3,female,0,0,7.8542,S,young adult,Miss,True,0
1,2,female,1,0,26.0,S,young adult,Mrs,False,1
0,2,male,0,0,14.0,S,retirement,Other,True,0
1,1,female,0,2,164.8667,S,old adult,Miss,False,2
1,1,female,1,1,134.5,C,old adult,Mrs,False,2
0,3,male,0,0,7.25,S,young adult,Mr,True,0
0,3,male,0,0,7.8958,S,middle adult,Mr,True,0
1,2,female,0,0,12.35,Q,middle adult,Miss,True,0
1,2,female,1,1,29.0,S,young adult,Mrs,False,2
0,3,male,8,2,69.55,S,retirement,Mr,False,10
1,1,female,0,0,135.6333,C,old adult,Miss,True,0
0,3,male,0,0,6.2375,S,retirement,Mr,True,0
1,2,female,0,0,13.0,S,old adult,Mrs,True,0
1,3,female,1,1,20.525,S,old adult,Mrs,False,2
1,1,female,0,1,57.9792,C,children,Miss,False,1
1,3,female,2,0,23.25,Q,retirement,Miss,False,2
0,1,male,0,0,28.5,S,old adult,Mr,True,0
0,1,male,0,1,153.4625,S,old adult,Mr,False,1
0,3,male,2,0,18.0,S,children,Mr,False,2
1,1,female,1,0,133.65,S,retirement,Mrs,False,1
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,1,male,1,0,66.6,S,middle adult,Mr,False,1
1,1,female,0,0,134.5,C,old adult,Miss,True,0
1,3,male,0,0,8.05,S,old adult,Mr,True,0
0,1,male,0,0,35.5,S,old adult,Mr,True,0
1,2,male,1,1,26.0,S,retirement,Master,False,2
1,1,female,3,2,263.0,S,young adult,Miss,False,5
0,2,male,0,0,13.0,S,middle adult,Mr,True,0
0,2,male,0,0,13.0,S,young adult,Mr,True,0
0,2,male,0,0,13.0,S,old adult,Mr,True,0
1,2,female,0,0,13.0,S,young adult,Miss,True,0
1,2,female,0,0,13.0,S,old adult,Miss,True,0
1,3,female,1,0,16.1,S,retirement,Mrs,False,1
1,3,male,1,1,15.9,S,retirement,Master,False,2
0,3,male,0,0,8.6625,S,old adult,Mr,True,0
0,3,male,0,0,9.225,S,young adult,Mr,True,0
0,1,male,0,0,35.0,S,retirement,Mr,True,0
0,3,male,1,1,7.2292,C,children,Mr,False,2
0,3,male,1,0,17.8,S,young adult,Mr,False,1
0,3,male,0,0,7.225,C,retirement,Mr,True,0
0,3,male,0,0,9.5,S,middle adult,Mr,True,0
1,1,female,0,1,55.0,S,young adult,Miss,False,1
0,2,female,0,0,13.0,S,old adult,Miss,True,0
1,3,female,0,0,7.8792,Q,retirement,Miss,True,0
1,3,female,0,0,7.8792,Q,retirement,Miss,True,0
0,3,male,1,4,27.9,S,old adult,Mr,False,5
0,2,male,1,0,27.7208,C,middle adult,Mr,False,1
0,3,female,0,1,14.4542,C,old adult,Mrs,False,1
0,3,male,0,0,7.05,S,old adult,Mr,True,0
0,3,male,1,0,15.5,Q,retirement,Mr,False,1
0,3,male,0,0,7.25,S,middle adult,Mr,True,0
1,1,female,1,0,75.25,C,retirement,Mrs,False,1
1,3,female,0,0,7.2292,C,retirement,Mrs,True,0
1,3,female,0,0,7.75,Q,retirement,Miss,True,0
1,1,female,0,0,69.3,C,young adult,Other,True,0
1,1,male,1,0,55.4417,C,young adult,Mr,False,1
0,3,male,1,0,6.4958,S,teenager,Mr,False,1
0,3,male,0,0,8.05,S,teenager,Mr,True,0
0,1,male,0,0,135.6333,C,young adult,Mr,True,0
0,3,female,3,1,21.075,S,retirement,Miss,False,4
1,1,female,1,0,82.1708,C,retirement,Mrs,False,1
1,3,female,0,0,7.25,S,young adult,Miss,True,0
0,1,male,0,2,211.5,C,middle adult,Mr,False,2
0,3,male,0,0,4.0125,C,teenager,Mr,True,0
0,3,male,0,0,7.775,S,teenager,Mr,True,0
1,1,female,0,0,227.525,C,old adult,Miss,True,0
1,3,female,0,2,15.7417,C,retirement,Miss,False,2
0,3,male,0,0,7.925,S,old adult,Mr,True,0
1,1,female,1,0,52.0,S,old adult,Mrs,False,1
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,2,male,0,0,73.5,S,teenager,Mr,True,0
0,3,male,5,2,46.9,S,retirement,Master,False,7
1,2,female,0,0,13.0,S,old adult,Miss,True,0
0,3,male,0,0,7.7292,Q,retirement,Mr,True,0
1,2,female,0,0,12.0,C,children,Miss,True,0
1,1,male,1,2,120.0,S,old adult,Mr,False,3
1,3,male,0,0,7.7958,S,teenager,Mr,True,0
0,3,male,2,0,7.925,S,middle adult,Mr,False,2
1,1,female,1,0,113.275,C,young adult,Miss,False,1
1,3,female,0,2,16.7,S,young adult,Mrs,False,2
0,3,male,0,0,7.7958,S,young adult,Mr,True,0
0,3,female,0,0,7.8542,S,old adult,Miss,True,0
0,2,male,0,0,26.0,S,old adult,Mr,True,0
0,2,male,0,0,10.5,S,young adult,Other,True,0
1,2,female,0,0,12.65,S,middle adult,Mrs,True,0
1,3,male,0,0,7.925,S,old adult,Mr,True,0
0,3,male,0,0,8.05,S,young adult,Mr,True,0
0,3,female,1,0,9.825,S,teenager,Miss,False,1
0,3,male,1,0,15.85,S,middle adult,Mr,False,1
0,3,female,0,0,8.6625,S,teenager,Miss,True,0
0,2,male,1,0,21.0,S,old adult,Mr,False,1
0,3,male,0,0,7.75,S,retirement,Mr,True,0
1,2,male,1,1,18.75,S,retirement,Master,False,2
0,3,male,0,0,7.775,S,teenager,Mr,True,0
0,3,female,3,1,25.4667,S,retirement,Miss,False,4
0,3,male,0,0,7.8958,S,retirement,Mr,True,0
0,3,male,0,0,6.8583,Q,retirement,Mr,True,0
1,1,female,1,0,90.0,Q,old adult,Miss,False,1
0,2,male,0,0,0.0,S,retirement,Mr,True,0
1,3,male,0,0,7.925,S,old adult,Mr,True,0
0,3,female,0,0,8.05,S,retirement,Mrs,True,0
1,2,female,1,1,32.5,S,old adult,Mrs,False,2
1,2,female,0,2,13.0,S,teenager,Miss,False,2
0,2,male,0,0,13.0,S,middle adult,Mr,True,0
0,3,female,0,2,24.15,S,children,Miss,False,2
0,3,male,0,0,7.8958,C,retirement,Mr,True,0
0,3,male,0,0,7.7333,Q,teenager,Mr,True,0
0,3,male,0,0,7.875,S,middle adult,Mr,True,0
0,3,female,1,1,14.4,S,middle adult,Mrs,False,2
0,3,male,1,1,20.2125,S,teenager,Mr,False,2
0,3,male,0,0,7.25,S,retirement,Mr,True,0
1,2,female,1,0,26.0,S,middle adult,Mrs,False,1
1,2,female,0,0,26.0,S,teenager,Miss,True,0
0,3,male,0,0,7.75,Q,retirement,Mr,True,0
1,3,male,0,0,8.05,S,old adult,Mr,True,0
1,1,male,0,0,26.55,S,middle adult,Mr,True,0
1,3,female,1,0,16.1,S,retirement,Mrs,False,1
1,2,female,1,0,26.0,S,old adult,Mrs,False,1
0,3,male,0,0,7.125,S,children,Mr,True,0
0,1,male,1,0,55.9,S,retirement,Mr,False,1
1,1,female,1,2,120.0,S,children,Miss,False,3
0,3,female,2,2,34.375,S,teenager,Miss,False,4
1,2,female,2,3,18.75,S,young adult,Mrs,False,5
0,1,male,1,4,263.0,S,retirement,Mr,False,5
0,2,male,0,0,10.5,S,old adult,Mr,True,0
1,2,female,1,1,26.25,S,old adult,Mrs,False,2
0,3,male,0,0,9.5,S,teenager,Mr,True,0
0,3,male,1,0,7.775,S,young adult,Mr,False,1
